Slno,Player name,Country(team),Age,Rating
1,Don Bradman,Australia,92,961
2,Steve Smith,Australia,32,947
3,Len Hutton,England,74,945
4,Jack Hobbs,England,81,942
5,Ricky Ponting,Australia,46,942
6,Peter May,England,69,941
7,Kumar Sangakara,Sri lanka,43,938
8,Garry Sobers,West indies,85,938
9,Viv Richards,West indies,69,938
10,Clyde Walcott,West indies,80,938
